schema_version	source_role	source_path	bytes	sha256	relevant_occurrence_count
c5-reusable-direct-event-source-v1	attempt_index	<protected-source>/asyncs-sgx-collection-20260615/experiments/collections/358_reusable-concurrency-c5-function-warm-low-contention-direct-events/workloads/compression-derived-random256k-level6-v1/measured/submit-metadata.tsv	93458	c3810fbe38aa8c7b3da0573feb00f4ed005b86256494274dac8b18d54867f684	0
c5-reusable-direct-event-source-v1	verifier_index	<protected-source>	139884	a6e1ab48abf2c0cf6afb0e73415780dfbfebca10bc4cd3d9fcc2431e94ffd214	0
c5-reusable-direct-event-source-v1	client	<protected-source>/asyncs-sgx-collection-20260615/experiments/collections/358_reusable-concurrency-c5-function-warm-low-contention-direct-events/workloads/compression-derived-random256k-level6-v1/measured/shared-timing-events.tsv	118629	05a3a527c33c81717da84c4105bc830aa2a9a620b62a9c6ca97fc5059b1e792e	900
c5-reusable-direct-event-source-v1	runtime	<protected-source>/asyncs-sgx-collection-20260615/experiments/collections/358_reusable-concurrency-c5-function-warm-low-contention-direct-events/workloads/compression-derived-random256k-level6-v1/measured/profile-timing-events.tsv	372140	98acd884cea2a2649a2ad764abc79cab1a516669434e71166ac0d54ba617cdb4	1800
c5-reusable-direct-event-source-v1	controller	<protected-source>/asyncs-sgx-collection-20260615/experiments/collections/358_reusable-concurrency-c5-function-warm-low-contention-direct-events/workloads/compression-derived-random256k-level6-v1/measured/direct-event-capture/controller-openwhisk.log	266400	4efc5fabdbc4afad21793744a4f5bc2184ca4161d1c46f2ac23cc92272ecb46e	600
c5-reusable-direct-event-source-v1	scheduler	<protected-source>/asyncs-sgx-collection-20260615/experiments/collections/358_reusable-concurrency-c5-function-warm-low-contention-direct-events/workloads/compression-derived-random256k-level6-v1/measured/direct-event-capture/scheduler-openwhisk.log	828000	e8ea48510a7c65780c91d2187c4d85e7fa80f1ee041abc166aa7f474c1be464c	1500
c5-reusable-direct-event-source-v1	gateway	<protected-source>/asyncs-sgx-collection-20260615/experiments/collections/358_reusable-concurrency-c5-function-warm-low-contention-direct-events/workloads/compression-derived-random256k-level6-v1/measured/direct-event-capture/gateway-reencrypt.log	156362	106fa58e84d7403978d811e7b8d099258549df75ef818fdb3bdcfb1733f6dc15	300
c5-reusable-direct-event-source-v1	invoker	<protected-source>/asyncs-sgx-collection-20260615/experiments/collections/358_reusable-concurrency-c5-function-warm-low-contention-direct-events/workloads/compression-derived-random256k-level6-v1/measured/direct-event-capture/worker-172_18_89_215-invoker0-openwhisk-store.log	256398	3775868d041ebe7df013cce38564d5fcf6dd22d9928e8c0c5f2f09121e073c63	742
c5-reusable-direct-event-source-v1	invoker	<protected-source>/asyncs-sgx-collection-20260615/experiments/collections/358_reusable-concurrency-c5-function-warm-low-contention-direct-events/workloads/compression-derived-random256k-level6-v1/measured/direct-event-capture/worker-172_18_89_217-invoker2-openwhisk-store.log	469254	b8bec921f70d714d199a5f81e633abb8acfa813584ee42d23a5c1296fd49a8b8	1358
c5-reusable-direct-event-source-v1	invoker	<protected-source>/asyncs-sgx-collection-20260615/experiments/collections/358_reusable-concurrency-c5-function-warm-low-contention-direct-events/workloads/compression-derived-random256k-level6-v1/measured/direct-event-capture/worker-172_18_89_218-invoker3-openwhisk-store.log	0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0
