schema_version,series_id,display_name,evidence_type,coverage,functions_f,warm_placements_p,replicas_r,tenants_t,authority_secret_objects,warm_secret_objects,binding_objects,authority_secret_bytes,warm_secret_bytes,binding_bytes,secret_payload_bytes,protected_state_payload_bytes,declared_retained_storage_bytes,linker_padding_bytes,allocator_runtime_overhead_bytes,retained_memory_bytes,bytes_main_figure_eligible,object_main_figure_eligible,note
asyncs-c4-e5-state-scaling-v2,asyncs-minimal-core,AsynCS minimal core,source-derived,complete-bytes-and-objects,1,1,1,1,1,2,1,32,192,32,224,256,681,56,0,737,true,true,One persistent MSK; two BF-IBE capabilities and one canonical FID binding per warm placement.
asyncs-c4-e5-state-scaling-v2,stored-bfibe-capabilities,Per-function stored capabilities,paper-model,complete-payload-model,1,1,1,1,2,2,2,192,192,64,384,448,,,,,true,true,"Same 96-byte BF-IBE capabilities and two-key obligation as AsynCS, but both capabilities are retained per function."
asyncs-c4-e5-state-scaling-v2,wallet-paper-object-model,Wallet paper model,paper-model,objects-only-bytes-na,1,1,1,1,1,1,2,,,,,,,,,,false,true,One provider private-key object per function and one copy per configured monitor; key bytes are N/A.
asyncs-c4-e5-state-scaling-v2,cofunc-t1-paper-object-model,CoFunc paper model (T=1),paper-model,objects-only-bytes-na,1,1,1,1,1,1,2,,,,,,,,,,false,true,One tenant-key object for T=1 and one copy per active CVM placement; key bytes are N/A.
asyncs-c4-e5-state-scaling-v2,reusable-artifact-session-lower-bound,Reusable session-only lower bound,source-derived,partial-session-only,1,1,1,1,,1,1,,16,8,,,,,,,false,false,Artifact AEK/session state only; missing function-key manager makes complete key-related state N/A.
asyncs-c4-e5-state-scaling-v2,asyncs-minimal-core,AsynCS minimal core,source-derived,complete-bytes-and-objects,10,3,1,1,1,6,3,32,576,96,608,704,1979,168,0,2147,true,true,One persistent MSK; two BF-IBE capabilities and one canonical FID binding per warm placement.
asyncs-c4-e5-state-scaling-v2,stored-bfibe-capabilities,Per-function stored capabilities,paper-model,complete-payload-model,10,3,1,1,20,6,13,1920,576,416,2496,2912,,,,,true,true,"Same 96-byte BF-IBE capabilities and two-key obligation as AsynCS, but both capabilities are retained per function."
asyncs-c4-e5-state-scaling-v2,wallet-paper-object-model,Wallet paper model,paper-model,objects-only-bytes-na,10,3,1,1,10,3,13,,,,,,,,,,false,true,One provider private-key object per function and one copy per configured monitor; key bytes are N/A.
asyncs-c4-e5-state-scaling-v2,cofunc-t1-paper-object-model,CoFunc paper model (T=1),paper-model,objects-only-bytes-na,10,3,1,1,1,3,4,,,,,,,,,,false,true,One tenant-key object for T=1 and one copy per active CVM placement; key bytes are N/A.
asyncs-c4-e5-state-scaling-v2,reusable-artifact-session-lower-bound,Reusable session-only lower bound,source-derived,partial-session-only,10,3,1,1,,3,3,,48,24,,,,,,,false,false,Artifact AEK/session state only; missing function-key manager makes complete key-related state N/A.
asyncs-c4-e5-state-scaling-v2,asyncs-minimal-core,AsynCS minimal core,source-derived,complete-bytes-and-objects,100,25,1,1,1,50,25,32,4800,800,4832,5632,16257,1400,0,17657,true,true,One persistent MSK; two BF-IBE capabilities and one canonical FID binding per warm placement.
asyncs-c4-e5-state-scaling-v2,stored-bfibe-capabilities,Per-function stored capabilities,paper-model,complete-payload-model,100,25,1,1,200,50,125,19200,4800,4000,24000,28000,,,,,true,true,"Same 96-byte BF-IBE capabilities and two-key obligation as AsynCS, but both capabilities are retained per function."
asyncs-c4-e5-state-scaling-v2,wallet-paper-object-model,Wallet paper model,paper-model,objects-only-bytes-na,100,25,1,1,100,25,125,,,,,,,,,,false,true,One provider private-key object per function and one copy per configured monitor; key bytes are N/A.
asyncs-c4-e5-state-scaling-v2,cofunc-t1-paper-object-model,CoFunc paper model (T=1),paper-model,objects-only-bytes-na,100,25,1,1,1,25,26,,,,,,,,,,false,true,One tenant-key object for T=1 and one copy per active CVM placement; key bytes are N/A.
asyncs-c4-e5-state-scaling-v2,reusable-artifact-session-lower-bound,Reusable session-only lower bound,source-derived,partial-session-only,100,25,1,1,,25,25,,400,200,,,,,,,false,false,Artifact AEK/session state only; missing function-key manager makes complete key-related state N/A.
asyncs-c4-e5-state-scaling-v2,asyncs-minimal-core,AsynCS minimal core,source-derived,complete-bytes-and-objects,1000,250,1,1,1,500,250,32,48000,8000,48032,56032,162282,14000,0,176282,true,true,One persistent MSK; two BF-IBE capabilities and one canonical FID binding per warm placement.
asyncs-c4-e5-state-scaling-v2,stored-bfibe-capabilities,Per-function stored capabilities,paper-model,complete-payload-model,1000,250,1,1,2000,500,1250,192000,48000,40000,240000,280000,,,,,true,true,"Same 96-byte BF-IBE capabilities and two-key obligation as AsynCS, but both capabilities are retained per function."
asyncs-c4-e5-state-scaling-v2,wallet-paper-object-model,Wallet paper model,paper-model,objects-only-bytes-na,1000,250,1,1,1000,250,1250,,,,,,,,,,false,true,One provider private-key object per function and one copy per configured monitor; key bytes are N/A.
asyncs-c4-e5-state-scaling-v2,cofunc-t1-paper-object-model,CoFunc paper model (T=1),paper-model,objects-only-bytes-na,1000,250,1,1,1,250,251,,,,,,,,,,false,true,One tenant-key object for T=1 and one copy per active CVM placement; key bytes are N/A.
asyncs-c4-e5-state-scaling-v2,reusable-artifact-session-lower-bound,Reusable session-only lower bound,source-derived,partial-session-only,1000,250,1,1,,250,250,,4000,2000,,,,,,,false,false,Artifact AEK/session state only; missing function-key manager makes complete key-related state N/A.
asyncs-c4-e5-state-scaling-v2,asyncs-minimal-core,AsynCS minimal core,source-derived,complete-bytes-and-objects,10000,2500,1,1,1,5000,2500,32,480000,80000,480032,560032,1622532,140000,0,1762532,true,true,One persistent MSK; two BF-IBE capabilities and one canonical FID binding per warm placement.
